Airline	April 04, 2023	April 13, 2023	April 27, 2023	May 11, 2023	June 24, 2023	July 08, 2023	August 05, 2023	September 01, 2023	September 02, 2023	September 16, 2023	October 03, 2023	October 14, 2023	October 17, 2023
Cow airways	0	0	0	0	0	0	0	0	15	45	54	54	54
CRANAIR	0	2	4	12	26	0	0	0	0	0	0	0	0
Cream City Airlines	0	0	0	0	0	0	0	0	8	21	37	52	58
Crescent International	8	8	0	0	0	0	0	0	0	0	0	0	0
Croair	21	27	31	50	69	69	0	0	0	0	0	0	0
Croatia airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Croc a While	0	0	0	0	0	0	0	0	0	0	0	4	6
CrossAir	0	0	0	0	0	0	0	0	0	8	16	16	20
Crown Air	0	0	0	0	0	0	0	0	14	47	55	55	55
CrownVector	0	0	0	0	0	0	0	0	0	0	0	0	0
Crystal Airways	0	0	0	0	0	0	0	0	47	86	86	89	93
Crystl Air	4	4	0	0	0	0	0	0	0	0	0	0	0
Cubana	3	3	3	0	0	0	0	0	0	0	0	0	0
Czech Airlines	23	38	38	38	0	0	0	0	0	0	0	0	0
DC Airways	0	0	0	0	0	34	54	0	0	0	0	0	0
Delta Air Lines	0	0	0	0	0	0	0	0	29	90	114	114	114
Delta Air Lines Inc	0	0	0	0	75	90	91	0	0	0	0	0	0
Derriere Direct	0	0	0	0	0	0	0	0	28	49	50	50	50
DesertXpress	0	0	0	0	0	0	0	0	0	5	11	17	17
Diligo	0	0	0	0	0	0	0	0	5	5	0	0	0
Dilmun Air	0	0	0	0	0	0	0	0	6	15	35	49	55
Dinasty Airways	3	10	15	32	35	35	3	0	0	0	0	0	0
Down In Flames	0	0	0	0	6	6	0	0	0	0	0	0	0
Down with Global	0	0	0	0	0	0	0	0	56	183	267	332	347
Dragon	0	0	32	40	87	92	110	0	13	9	15	16	16
Dragon Airways	0	0	0	0	0	2	0	0	0	0	0	0	0
Dune Airways	151	154	156	156	0	0	0	0	0	0	0	0	0
Dutch Lion Airlines	77	101	110	126	140	141	150	0	10	33	45	63	65
EA	0	0	0	0	0	0	0	0	8	11	11	0	0
